city,state,scientific_name,tree_count
Kailua,Hawaii,Other,2474
Kaneohe,Hawaii,Acer platanoides,297
Kaneohe,Hawaii,Acer saccharum,154
Kaneohe,Hawaii,Acer rubrum,145
Kaneohe,Hawaii,Acer saccharinum,129
Kaneohe,Hawaii,Tilia cordata,104
Kaneohe,Hawaii,Other,1229
Waipahu,Hawaii,Acer platanoides,27
Waipahu,Hawaii,Acer saccharum,13
Waipahu,Hawaii,Acer rubrum,2
Waipahu,Hawaii,Acer saccharinum,1
Waipahu,Hawaii,Tilia cordata,0
Houston,Texas,Acer platanoides,44320
Houston,Texas,Acer saccharum,44059
Houston,Texas,Acer rubrum,13013
Houston,Texas,Acer saccharinum,10804
Houston,Texas,Tilia cordata,9561
Houston,Texas,Other,90029
Huntington Beach,California,Acer platanoides,4681
Huntington Beach,California,Acer saccharum,4037
Huntington Beach,California,Acer rubrum,3896
Huntington Beach,California,Acer saccharinum,2574
Huntington Beach,California,Tilia cordata,1665
Huntington Beach,California,Other,28376
Indianapolis,Indiana,Acer platanoides,7042
Indianapolis,Indiana,Acer saccharum,5940
Indianapolis,Indiana,Acer rubrum,5803
Indianapolis,Indiana,Acer saccharinum,5717
Indianapolis,Indiana,Tilia cordata,3977
Indianapolis,Indiana,Other,68748
Irvine,California,Acer platanoides,4578
Irvine,California,Acer saccharum,3948
Irvine,California,Acer rubrum,3830
Irvine,California,Acer saccharinum,3810
Irvine,California,Tilia cordata,3339
Irvine,California,Other,38264
Jersey City,New Jersey,Acer platanoides,111
Jersey City,New Jersey,Acer saccharum,101
Jersey City,New Jersey,Acer rubrum,92
Jersey City,New Jersey,Acer saccharinum,78
Jersey City,New Jersey,Tilia cordata,63
Jersey City,New Jersey,Other,329
Knoxville,Tennessee,Acer platanoides,683
Knoxville,Tennessee,Acer saccharum,602
Knoxville,Tennessee,Acer rubrum,594
Knoxville,Tennessee,Acer saccharinum,517
Knoxville,Tennessee,Tilia cordata,323
Knoxville,Tennessee,Other,5653
Las Vegas,Nevada,Acer platanoides,5888
Las Vegas,Nevada,Acer saccharum,4480
Las Vegas,Nevada,Acer rubrum,1844
Las Vegas,Nevada,Acer saccharinum,1483
Las Vegas,Nevada,Tilia cordata,1478
Las Vegas,Nevada,Other,16691
Los Angeles,California,Acer platanoides,37971
Los Angeles,California,Acer saccharum,34729
Los Angeles,California,Acer rubrum,30988
Los Angeles,California,Acer saccharinum,30061
Los Angeles,California,Tilia cordata,28681
Los Angeles,California,Other,411180
Louisville,Kentucky,Acer platanoides,1810
Louisville,Kentucky,Acer saccharum,1678
Louisville,Kentucky,Acer rubrum,1538
Louisville,Kentucky,Acer saccharinum,1404
Louisville,Kentucky,Tilia cordata,1086
Louisville,Kentucky,Other,25195
Madison,Wisconsin,Acer platanoides,20918
Madison,Wisconsin,Acer saccharum,17377
Madison,Wisconsin,Acer rubrum,4969
Madison,Wisconsin,Acer saccharinum,3894
Madison,Wisconsin,Tilia cordata,3390
Madison,Wisconsin,Other,33210
Miami,Florida,Acer platanoides,46
Miami,Florida,Acer saccharum,41
Miami,Florida,Acer rubrum,36
Miami,Florida,Acer saccharinum,34
Miami,Florida,Tilia cordata,33
Miami,Florida,Other,541
Brown Deer,Wisconsin,Acer platanoides,122
Brown Deer,Wisconsin,Acer saccharum,90
Brown Deer,Wisconsin,Acer rubrum,84
Brown Deer,Wisconsin,Acer saccharinum,59
Brown Deer,Wisconsin,Tilia cordata,49
Brown Deer,Wisconsin,Other,176
Cudahy,Wisconsin,Acer platanoides,63
Cudahy,Wisconsin,Acer saccharum,41
Cudahy,Wisconsin,Acer rubrum,36
Cudahy,Wisconsin,Acer saccharinum,33
Cudahy,Wisconsin,Tilia cordata,32
Cudahy,Wisconsin,Other,218
Fox Point,Wisconsin,Acer platanoides,25
Fox Point,Wisconsin,Acer saccharum,19
Fox Point,Wisconsin,Acer rubrum,19
Fox Point,Wisconsin,Acer saccharinum,11
Fox Point,Wisconsin,Tilia cordata,11
Fox Point,Wisconsin,Other,75
Franklin,Wisconsin,Acer platanoides,57
Franklin,Wisconsin,Acer saccharum,27
Franklin,Wisconsin,Acer rubrum,24
Franklin,Wisconsin,Acer saccharinum,23
Franklin,Wisconsin,Tilia cordata,23
Franklin,Wisconsin,Other,174
Glendale,Wisconsin,Acer platanoides,442
Glendale,Wisconsin,Acer saccharum,186
Glendale,Wisconsin,Acer rubrum,175
Glendale,Wisconsin,Acer saccharinum,116
Glendale,Wisconsin,Tilia cordata,111
Glendale,Wisconsin,Other,706
Greendale,Wisconsin,Acer platanoides,31
Greendale,Wisconsin,Acer saccharum,27
Greendale,Wisconsin,Acer rubrum,17
Greendale,Wisconsin,Acer saccharinum,16
Greendale,Wisconsin,Tilia cordata,14
Greendale,Wisconsin,Other,165
Greenfield,Wisconsin,Acer platanoides,61
Greenfield,Wisconsin,Acer saccharum,26
Greenfield,Wisconsin,Acer rubrum,26
Greenfield,Wisconsin,Acer saccharinum,25
Greenfield,Wisconsin,Tilia cordata,25
Greenfield,Wisconsin,Other,209
Hales Corners,Wisconsin,Acer platanoides,43
Hales Corners,Wisconsin,Acer saccharum,43
Hales Corners,Wisconsin,Acer rubrum,35
Hales Corners,Wisconsin,Acer saccharinum,29
Hales Corners,Wisconsin,Tilia cordata,24
